,INTC,TSM,MU,AMAT,KLAC,LRCX,SMCI,ASML,MBGYY,NOW,TMUS,JNJ,LI,LCID,SOUN,IQV,HNHPF,AKAM,NOK
INTC,1.0,0.35570810865941566,0.4500233247367619,0.499527500975402,0.5037337913155422,0.5129338161408944,0.22894932514655617,0.43092635675400953,0.22881567759714452,0.2936506356290842,0.17711588098941705,0.03446842904557595,0.11355516585229995,0.2369551625174368,0.2315688515532109,0.3280705368097775,0.29450167358285495,0.2608388058256012,0.21985781201986382
TSM,0.35570810865941566,1.0,0.6268577347131887,0.6857041122117072,0.7019009806117283,0.703048546131423,0.4134130164595589,0.7031706219143229,0.3118149621926416,0.4442299654628375,0.015412884903856325,-0.20908683253493063,0.16354403709340187,0.16776316908330732,0.307682089829484,0.3333745315918106,0.47810131188827465,0.2453885993947492,0.21241622326791645
MU,0.4500233247367619,0.6268577347131887,1.0,0.6741325440149953,0.6857758462277432,0.7550747392317131,0.40677316495931826,0.6122752136835476,0.3322276364886956,0.3830890967534243,0.0359261671778379,-0.13891772102515465,0.17234654171308,0.21719246555617425,0.3098620510955013,0.3342125399863842,0.34393879521403,0.27957637378539707,0.22719116181869575
AMAT,0.499527500975402,0.6857041122117072,0.6741325440149953,1.0,0.9225424187829333,0.9227846538727553,0.387173710916253,0.8360613066538644,0.3214710243023882,0.44867173334276494,0.06333149817565543,-0.1505738344306113,0.19606666636627368,0.2096529187155926,0.32297454131576225,0.4059216520563987,0.3801266624303675,0.2924037933413584,0.24028701735039487
KLAC,0.5037337913155422,0.7019009806117283,0.6857758462277432,0.9225424187829333,1.0,0.9204737814356387,0.40504653546209207,0.8522440032763943,0.3401472294580044,0.4706420782575737,0.05157111157024005,-0.14685868546083078,0.1907074254636459,0.24293617921177182,0.31866457773656176,0.3973916559278195,0.3596986114471836,0.31090253639053334,0.24769352712106468
LRCX,0.5129338161408944,0.703048546131423,0.7550747392317131,0.9227846538727553,0.9204737814356387,1.0,0.44281918866817066,0.8197402604045795,0.3477645393946012,0.4570871023111684,0.06249260220075783,-0.15075689137062953,0.18124552898422297,0.24503470342183048,0.2922285087612471,0.40140592425017046,0.37316151891730454,0.33366412022072617,0.25501334270642695
SMCI,0.22894932514655617,0.4134130164595589,0.40677316495931826,0.387173710916253,0.40504653546209207,0.44281918866817066,1.0,0.3761464120821289,0.22856675436582483,0.27605308558876035,-0.02625670504823651,-0.14415108980788313,0.16677339094205065,0.19318112846894347,0.2391007028508749,0.1976905775663382,0.26601852173439045,0.16065979624550614,0.06268772229600111
ASML,0.43092635675400953,0.7031706219143229,0.6122752136835476,0.8360613066538644,0.8522440032763943,0.8197402604045795,0.3761464120821289,1.0,0.3763793124512261,0.43899715364328085,0.07236109192022969,-0.1679410139935042,0.20612186419462591,0.20489621133966976,0.31314237592714833,0.36356731531245656,0.3730471355303248,0.2731890688169115,0.28314493499201476
MBGYY,0.22881567759714452,0.3118149621926416,0.3322276364886956,0.3214710243023882,0.3401472294580044,0.3477645393946012,0.22856675436582483,0.3763793124512261,1.0,0.2399687271946369,0.0280510891759805,0.135177075519372,0.2749815991706357,0.2865692509419764,0.25510682950597585,0.28965662203390713,0.2799729281808919,0.2802897306615869,0.3158941445857362
NOW,0.2936506356290842,0.4442299654628375,0.3830890967534243,0.44867173334276494,0.4706420782575737,0.4570871023111684,0.27605308558876035,0.43899715364328085,0.2399687271946369,1.0,0.1203634822898295,-0.10478509418084944,0.07591685677905903,0.12721336886473125,0.29584474988686016,0.32385665681720927,0.2569559877593456,0.3332745005650122,0.11675964990297769
TMUS,0.17711588098941705,0.015412884903856325,0.0359261671778379,0.06333149817565543,0.05157111157024005,0.06249260220075783,-0.02625670504823651,0.07236109192022969,0.0280510891759805,0.1203634822898295,1.0,0.2351081724325896,0.010809003574303543,-0.005805892111647386,0.029553350117615375,0.10021686907747726,0.022195249526109868,0.14877615784189238,0.09858840590743309
JNJ,0.03446842904557595,-0.20908683253493063,-0.13891772102515465,-0.1505738344306113,-0.14685868546083078,-0.15075689137062953,-0.14415108980788313,-0.1679410139935042,0.135177075519372,-0.10478509418084944,0.2351081724325896,1.0,0.05800313278277966,0.0065172542171137784,-0.009703569252344378,0.2503422716462267,-0.08424262159397855,0.07103026731417009,0.1085472652499068
LI,0.11355516585229995,0.16354403709340187,0.17234654171308,0.19606666636627368,0.1907074254636459,0.18124552898422297,0.16677339094205065,0.20612186419462591,0.2749815991706357,0.07591685677905903,0.010809003574303543,0.05800313278277966,1.0,0.20425657359064628,0.25288038453264117,0.1303473992949507,0.1379860518587204,0.12782612547659972,0.2134663049575178
LCID,0.2369551625174368,0.16776316908330732,0.21719246555617425,0.2096529187155926,0.24293617921177182,0.24503470342183048,0.19318112846894347,0.20489621133966976,0.2865692509419764,0.12721336886473125,-0.005805892111647386,0.0065172542171137784,0.20425657359064628,1.0,0.308286303902277,0.23540205925572188,0.12153466538170789,0.14226095965623453,0.20634888243629063
SOUN,0.2315688515532109,0.307682089829484,0.3098620510955013,0.32297454131576225,0.31866457773656176,0.2922285087612471,0.2391007028508749,0.31314237592714833,0.25510682950597585,0.29584474988686016,0.029553350117615375,-0.009703569252344378,0.25288038453264117,0.308286303902277,1.0,0.2492653846140236,0.22289256065954077,0.19690277562575736,0.2077533016767832
IQV,0.3280705368097775,0.3333745315918106,0.3342125399863842,0.4059216520563987,0.3973916559278195,0.40140592425017046,0.1976905775663382,0.36356731531245656,0.28965662203390713,0.32385665681720927,0.10021686907747726,0.2503422716462267,0.1303473992949507,0.23540205925572188,0.2492653846140236,1.0,0.26183881233171674,0.2990316049161655,0.26687347343983975
