,INTC,TSM,MU,AMAT,KLAC,LRCX,SMCI,ASML,MBGYY,NOW,TMUS,JNJ,LI,LCID,SOUN,IQV,HNHPF,AKAM,NOK
INTC,1.0,-0.22605798328186802,-0.012369565660185398,-0.03605301770595054,-0.06669320304946108,-0.03970463507511994,-0.0904186109135432,-0.09424532536694957,-0.0042610506503079106,-0.023875736813001328,0.15062015866860656,0.16279223590856798,-0.016408811408347657,0.08859493833767111,0.013774984806324326,0.07317944425141791,0.038337083918385216,0.05253243896145332,0.060422771125892664
TSM,-0.22605798328186802,1.0,0.009309553860742907,-0.054914192819124956,-0.06987230930933222,-0.06417463668267603,0.02656190402447091,0.15342696957346044,-0.009246277259065988,0.04039735929225951,-0.10053563664869977,-0.1314432111116963,-0.015892918386511485,-0.10722162616972442,0.009799390503442997,-0.08147168600943043,0.21191339188526037,-0.10231454744646455,-0.04161510518740948
MU,-0.012369565660185398,0.009309553860742907,1.0,-0.041518378733259274,-0.07017146112930214,0.18788886398984805,0.029136433265946015,-0.06416206238201712,0.0385092185922095,-0.059446351251793816,-0.06140276940312773,-0.017456222830335443,0.005163161324041494,-0.012601734592953658,0.024397981532737093,-0.06247076993232858,-0.02301785391356004,-0.028379393584820712,-0.006915281069450214
AMAT,-0.03605301770595054,-0.054914192819124956,-0.041518378733259274,1.0,0.6298080990680968,0.6314456903425278,-0.12803185607368972,0.43590798283322824,-0.06296455623783902,-0.04413092647368672,-0.04223688483823111,-0.013487789089488071,0.012158361830175057,-0.09467372011259284,-0.022328507381691214,-0.02112913440655296,-0.050227106935535885,-0.09214707819700747,-0.04395136716047384
KLAC,-0.06669320304946108,-0.06987230930933222,-0.07017146112930214,0.6298080990680968,1.0,0.5732408031205374,-0.12491611379058855,0.47104911464801635,-0.045792329790857546,-0.022487603361019175,-0.07924084967605105,0.0027936066246408136,-0.01125730045355766,-0.04032438295120771,-0.057566294585744915,-0.07468379947756636,-0.13648927941620714,-0.07764600447709537,-0.04735450717570846
LRCX,-0.03970463507511994,-0.06417463668267603,0.18788886398984805,0.6314456903425278,0.5732408031205374,1.0,-0.023191787728598836,0.34198935728756347,-0.026119954664223406,-0.05891300454146235,-0.053620810716463504,-0.006503391619255682,-0.033473374996168724,-0.03491573250713408,-0.12320860080334824,-0.06353950088029808,-0.10076379505482723,-0.020219542100174008,-0.029259098902193692
SMCI,-0.0904186109135432,0.02656190402447091,0.029136433265946015,-0.12803185607368972,-0.12491611379058855,-0.023191787728598836,1.0,-0.06208457151836752,0.03746088252583314,0.014084896635821386,-0.08558344360395137,-0.07260607194952978,0.0690096239225643,0.059265388038807,0.06181228565989964,-0.05054955278461952,0.048518533556867666,-0.036270040459022594,-0.1035064315893816
ASML,-0.09424532536694957,0.15342696957346044,-0.06416206238201712,0.43590798283322824,0.47104911464801635,0.34198935728756347,-0.06208457151836752,1.0,0.09981094815540925,0.014412028301866355,-0.008359246919017143,-0.06002049123948799,0.05259252819313233,-0.05252094661480596,0.00930510167868978,-0.039931577602885245,0.0026966307087664793,-0.0653895132297268,0.07592318994422964
MBGYY,-0.0042610506503079106,-0.009246277259065988,0.0385092185922095,-0.06296455623783902,-0.045792329790857546,-0.026119954664223406,0.03746088252583314,0.09981094815540925,1.0,0.03754199488816266,-0.010531268565558005,0.2212874389778422,0.2108941711703908,0.19603978998179405,0.12330080956203528,0.12636746971104298,0.12077194709949637,0.1528371675860733,0.22620083248971934
NOW,-0.023875736813001328,0.04039735929225951,-0.059446351251793816,-0.04413092647368672,-0.022487603361019175,-0.05891300454146235,0.014084896635821386,0.014412028301866355,0.03754199488816266,1.0,0.08298058639538557,-0.021160441757466095,-0.04721111022077471,-0.0314178922760615,0.12093265030770142,0.09819356636267498,0.01928855184631755,0.16848349346572483,-0.049945724724420014
