,INTC,TSM,MU,AMAT,KLAC,LRCX,SMCI,ASML,MBGYY,NOW,TMUS,JNJ,LI,LCID,SOUN,IQV,HNHPF,AKAM,NOK
INTC,1.0,0.03423948800246635,0.17963556136239628,0.23002519394598,0.22747770301463616,0.23929767339815336,0.035937171607742416,0.15254975635367407,-0.01400032225436134,-0.04758730931766605,0.04887284223527223,0.007776308633004978,0.006607145077675322,0.09610574786432245,0.024119090396297095,0.038004581858489525,0.08058840236728947,0.020452844804739266,0.035620502629637674
TSM,0.03423948800246635,1.0,0.36506808663365903,0.4370693916026295,0.4566488208829605,0.45523220338155973,0.2328063681824342,0.49670847100325816,0.021413145791639884,0.06764927219125705,-0.2091238872612918,-0.3186729701713359,0.03928788745424232,-0.040176431098579504,0.06234906798499854,-0.06608124698120382,0.2762093919726804,-0.08799518863661486,-0.03571418243680863
MU,0.17963556136239628,0.36506808663365903,1.0,0.4180291677791335,0.42881714255238296,0.5538168858578381,0.2241005667966956,0.3442037227062746,0.05291454826388093,-0.032441815075019344,-0.18006567354817352,-0.22615927333704816,0.051555770625355636,0.02854142498310018,0.06666124931371839,-0.06241851524915866,0.0813482364056704,-0.03558127939791917,-0.013710812764757248
AMAT,0.23002519394598,0.4370693916026295,0.4180291677791335,1.0,0.8496071429074714,0.84920198994505,0.18021775781958918,0.7105615236157633,0.004857589427946034,0.028574904818085316,-0.16956344020964922,-0.25913512172404635,0.07396028505796229,-0.0019705243243726116,0.06066137806211886,0.008253410285907965,0.10876416595474829,-0.053131565629932084,-0.02137123611924422
KLAC,0.22747770301463616,0.4566488208829605,0.42881714255238296,0.8496071429074714,1.0,0.8398214361917973,0.20152709779888262,0.7368663098606113,0.021767936238347132,0.04908283630462803,-0.19771049128176169,-0.26149522318595886,0.062706160771094,0.039379064659107794,0.04424819519124245,-0.024184509277478738,0.06656451757829196,-0.03812116913061374,-0.020524824295584283
LRCX,0.23929767339815336,0.45523220338155973,0.5538168858578381,0.84920198994505,0.8398214361917973,1.0,0.2579305051953311,0.6758783174217796,0.02935076608837249,0.01715983261288404,-0.185983260743853,-0.27003003322802077,0.04750483118424627,0.03988508851970731,-0.0008990140121182756,-0.024066845104388116,0.08398162702124444,-0.006647976368879995,-0.01320310288420309
SMCI,0.035937171607742416,0.2328063681824342,0.2241005667966956,0.18021775781958918,0.20152709779888262,0.2579305051953311,1.0,0.18194750055491876,0.06070205495271635,0.04588900507475083,-0.1444856749763514,-0.1791598359988551,0.09541817825125075,0.0849708927992016,0.0952827270436347,-0.03699446388030358,0.11164114882075415,-0.028025897891529424,-0.09392283084654895
ASML,0.15254975635367407,0.49670847100325816,0.3442037227062746,0.7105615236157633,0.7368663098606113,0.6758783174217796,0.18194750055491876,1.0,0.11954102697687687,0.0642958619511366,-0.12925729120314094,-0.26288677821282,0.09710132575330652,0.013013122361605563,0.07297784632188262,-0.012343833301253942,0.12547180719931986,-0.042632646059436896,0.06617890045705864
MBGYY,-0.01400032225436134,0.021413145791639884,0.05291454826388093,0.004857589427946034,0.021767936238347132,0.02935076608837249,0.06070205495271635,0.11954102697687687,1.0,-0.07274707143585521,-0.1098579807735465,0.12462207371906527,0.20595074517642628,0.17177654841847376,0.08080158855979153,0.028578872849840644,0.091156239018535,0.07858535236213536,0.17602447802606908
NOW,-0.04758730931766605,0.06764927219125705,-0.032441815075019344,0.028574904818085316,0.04908283630462803,0.01715983261288404,0.04588900507475083,0.0642958619511366,-0.07274707143585521,1.0,-0.06051366663968154,-0.1782248423294357,-0.072263792327836,-0.08790599598834176,0.0535428807703237,-0.06591774252986145,-0.036451847971423264,0.052271265243406424,-0.15956094826290215
TMUS,0.04887284223527223,-0.2091238872612918,-0.18006567354817352,-0.16956344020964922,-0.19771049128176169,-0.185983260743853,-0.1444856749763514,-0.12925729120314094,-0.1098579807735465,-0.06051366663968154,1.0,0.2293868281105311,-0.04690128860836191,-0.09441086667620846,-0.08968181157733476,-0.06822428406599527,-0.11201782292294718,0.027904001096669656,0.0010864937332026555
JNJ,0.007776308633004978,-0.3186729701713359,-0.22615927333704816,-0.25913512172404635,-0.26149522318595886,-0.27003003322802077,-0.1791598359988551,-0.26288677821282,0.12462207371906527,-0.1782248423294357,0.2293868281105311,1.0,0.04792571564845742,-0.010451266647526155,-0.034881146356749375,0.2698364419743545,-0.12151880155722457,0.05183952290934704,0.09559194378623569
LI,0.006607145077675322,0.03928788745424232,0.051555770625355636,0.07396028505796229,0.062706160771094,0.04750483118424627,0.09541817825125075,0.09710132575330652,0.20595074517642628,-0.072263792327836,-0.04690128860836191,0.04792571564845742,1.0,0.15079171988865875,0.18756187609960337,0.01126439000982335,0.050648329375360686,0.03373436409524505,0.15007881525575678
LCID,0.09610574786432245,-0.040176431098579504,0.02854142498310018,-0.0019705243243726116,0.039379064659107794,0.03988508851970731,0.0849708927992016,0.013013122361605563,0.17177654841847376,-0.08790599598834176,-0.09441086667620846,-0.010451266647526155,0.15079171988865875,1.0,0.2102607836455789,0.07373161428758365,-0.01902766377597116,-0.003391716563311097,0.10526032014276118
SOUN,0.024119090396297095,0.06234906798499854,0.06666124931371839,0.06066137806211886,0.04424819519124245,-0.0008990140121182756,0.0952827270436347,0.07297784632188262,0.08080158855979153,0.0535428807703237,-0.08968181157733476,-0.034881146356749375,0.18756187609960337,0.2102607836455789,1.0,0.01374569994977594,0.046995015615670516,0.002961200827778258,0.06602365574800438
IQV,0.038004581858489525,-0.06608124698120382,-0.06241851524915866,0.008253410285907965,-0.024184509277478738,-0.024066845104388116,-0.03699446388030358,-0.012343833301253942,0.028578872849840644,-0.06591774252986145,-0.06822428406599527,0.2698364419743545,0.01126439000982335,0.07373161428758365,0.01374569994977594,1.0,0.00013129716825294597,0.0324585761628004,0.06834531092641039
HNHPF,0.08058840236728947,0.2762093919726804,0.0813482364056704,0.10876416595474829,0.06656451757829196,0.08398162702124444,0.11164114882075415,0.12547180719931986,0.091156239018535,-0.036451847971423264,-0.11201782292294718,-0.12151880155722457,0.050648329375360686,-0.01902766377597116,0.046995015615670516,0.00013129716825294597,1.0,0.020392168920270133,0.027455762901538405
AKAM,0.020452844804739266,-0.08799518863661486,-0.03558127939791917,-0.053131565629932084,-0.03812116913061374,-0.006647976368879995,-0.028025897891529424,-0.042632646059436896,0.07858535236213536,0.052271265243406424,0.027904001096669656,0.05183952290934704,0.03373436409524505,-0.003391716563311097,0.002961200827778258,0.0324585761628004,0.020392168920270133,1.0,0.02969760657022828
NOK,0.035620502629637674,-0.03571418243680863,-0.013710812764757248,-0.02137123611924422,-0.020524824295584283,-0.01320310288420309,-0.09392283084654895,0.06617890045705864,0.17602447802606908,-0.15956094826290215,0.0010864937332026555,0.09559194378623569,0.15007881525575678,0.10526032014276118,0.06602365574800438,0.06834531092641039,0.027455762901538405,0.02969760657022828,1.0
